43	43_380	2.00000000 1.38629436 0.33333333 0.30830136 25.05323462 7.90176140 25.01859647 1.31627349 11.22060088 7.62887802 12.00000000 4.96981330 0.11650485 0.11412830 17.93709112 6.16046899 15.98215347 0.44615480 50.49086738 2.87766073 19.18860000 2.95431635 -3.47705000 -3.59224000 -3.47174000	2
43	43_2195	1.00000000 0.69314718 0.10000000 0.09531018 25.05323462 7.90176140 25.01859647 0.49122791 6.34321794 4.04216664 4.00000000 2.48490665 0.02985075 0.02968504 17.93709112 6.16046899 15.98215347 0.12619659 17.39789889 1.34541590 11.49980000 2.44232964 -4.55824000 -4.49731000 -4.57412000	2
43	43_4447	2.00000000 1.38629436 0.28571429 0.26706279 25.05323462 7.90176140 25.01859647 1.17382394 11.22060088 7.32995188 5.00000000 3.17805383 0.10638298 0.10483292 17.93709112 6.16046899 15.98215347 0.33180018 16.28802922 2.16040473 19.03260000 2.94615330 -3.36507000 -3.38502000 -3.18956000	1
43	43_7106	0.00000000 0.00000000 0.00000000 0.00000000 25.05323462 7.90176140 25.01859647 0.00000000 0.00000000 0.00000000 6.00000000 3.58351894 0.04918033 0.04884766 17.93709112 6.16046899 15.98215347 0.16058010 20.03237115 1.21585614 12.34060000 2.51289464 -4.05720000 -4.18700000 -4.12902000	0
43	43_32488	2.00000000 1.38629436 0.25000000 0.23556607 25.05323462 7.90176140 25.01859647 1.05986664 11.22060088 7.07220374 11.00000000 4.27666612 0.21568627 0.20647020 17.93709112 6.16046899 15.98215347 0.79023246 48.37858284 3.99076277 19.63650000 2.97739008 -3.49117000 -3.50215000 -3.45211000	1
43	43_8504	1.00000000 0.69314718 0.12500000 0.11778304 25.05323462 7.90176140 25.01859647 0.33991487 3.23862394 1.42585740 5.00000000 3.17805383 0.09259259 0.09141506 17.93709112 6.16046899 15.98215347 0.30446759 17.16042416 2.07939907 16.17200000 2.78328135 -3.57881000 -3.63063000 -3.52534000	2
43	43_9798	0.00000000 0.00000000 0.00000000 0.00000000 25.05323462 7.90176140 25.01859647 0.00000000 0.00000000 0.00000000 4.00000000 2.77258872 0.06349206 0.06299343 17.93709112 6.16046899 15.98215347 0.21828031 14.17574468 1.69988259 13.83120000 2.62692691 -3.90512000 -3.97344000 -4.07974000	0
43	43_42122	2.00000000 1.38629436 0.33333333 0.30830136 25.05323462 7.90176140 25.01859647 1.31627349 11.22060088 7.62887802 5.00000000 2.89037176 0.11904762 0.11657053 17.93709112 6.16046899 15.98215347 0.45908188 21.14224082 2.96965455 18.26690000 2.90509068 -3.66058000 -3.65683000 -3.53890000	2
43	43_42219	2.00000000 1.38629436 0.25000000 0.23556607 25.05323462 7.90176140 25.01859647 1.05986664 11.22060088 7.07220374 7.00000000 3.46573590 0.08333333 0.08201710 17.93709112 6.16046899 15.98215347 0.25980896 22.90431815 1.65560010 15.35650000 2.73153884 -4.05335000 -4.05793000 -3.91519000	1
43	43_11191	0.00000000 0.00000000 0.00000000 0.00000000 25.05323462 7.90176140 25.01859647 0.00000000 0.00000000 0.00000000 6.00000000 2.77258872 0.04687500 0.04633412 17.93709112 6.16046899 15.98215347 0.20192477 27.23634202 1.81233446 11.53290000 2.44520382 -4.94329000 -4.69345000 -4.91090000	1
43	43_11430	2.00000000 1.38629436 0.25000000 0.23556607 25.05323462 7.90176140 25.01859647 1.05986664 11.22060088 7.07220374 7.00000000 3.40119738 0.07608696 0.07487674 17.93709112 6.16046899 15.98215347 0.25208916 24.53637554 1.62866674 14.96480000 2.70570078 -4.13987000 -4.13356000 -4.09259000	2
43	43_51085	2.00000000 1.38629436 0.33333333 0.30830136 25.05323462 7.90176140 25.01859647 1.31627349 11.22060088 7.62887802 9.00000000 3.40119738 0.10227273 0.09971444 17.93709112 6.16046899 15.98215347 0.42191317 41.64956143 2.80830089 15.41540000 2.73536701 -4.39541000 -4.28177000 -4.44855000	1
